CIK,Ticker,Name,Exchange,SIC,Business,Incorporated,IRS
1090872,A,Agilent Technologies Inc,NYSE,3825.0,CA,DE,770518772.0
4281,AA,Alcoa Inc,NYSE,3350.0,PA,PA,250317820.0
1099290,AAC,Sinocoking Coal & Coke Chemical Industries Inc,NASDAQ,3312.0,F4,FL,593404233.0
6201,AAL,American Airlines Group Inc,NASDAQ,4512.0,TX,DE,751825172.0
8177,AAME,Atlantic American Corp,NASDAQ,6311.0,GA,GA,581027114.0
706688,AAN,Aarons Inc,NYSE,7359.0,GA,GA,580687630.0
1158114,AAOI,Applied Optoelectronics Inc,NASDAQ,3674.0,TX,DE,760533927.0
824142,AAON,Aaon Inc,NASDAQ,3585.0,OK,NV,870448736.0
1158449,AAP,Advance Auto Parts Inc,NYSE,5531.0,VA,DE,542049910.0
320193,AAPL,Apple Inc,NASDAQ,3571.0,CA,CA,942404110.0
1500217,AAT,American Assets Trust Inc,NYSE,6798.0,CA,MD,
801558,AB,Cannon Express Inc,NYSE,4213.0,AR,DE,710650141.0
825313,AB,Alliancebernstein Holding LP,NYSE,6282.0,NY,DE,133434400.0
881890,ABAX,Abaxis Inc,NASDAQ,3829.0,CA,CA,770213001.0
1428802,ABBB,Auburn Bancorp Inc,OTCBB,6035.0,ME,,
1551152,ABBV,Abbvie Inc,NYSE,2834.0,IL,DE,320375147.0
1140859,ABC,Amerisourcebergen Corp,NYSE,5122.0,PA,DE,233079390.0
351569,ABCB,Ameris Bancorp,NASDAQ,6022.0,GA,GA,581456434.0
1466815,ABCD,Cambium Learning Group Inc,NASDAQ,2741.0,TX,,270587428.0
1157377,ABCO,Advisory Board Co,NASDAQ,8741.0,DC,DE,521468699.0
841071,ABER,Dominion Diamond Corp,NYSE,1000.0,A6,A6,
894405,ABFS,Arkansas Best Corp,NASDAQ,4213.0,AR,DE,710673405.0
1144980,ABG,Asbury Automotive Group Inc,NYSE,5500.0,GA,DE,10609375.0
1393066,ABH,Resolute Forest Products Inc,NYSE,2621.0,A8,DE,980526415.0
77551,ABI,Applied Biosystems Inc,NYSE ARCA,3826.0,CT,DE,61534213.0
1409012,ABII,Abraxis Bioscience Inc,NASDAQ,2834.0,CA,DE,300431735.0
874501,ABK,Ambac Financial Group Inc,NASDAQ,6351.0,NY,DE,133621676.0
771497,ABM,Abm Industries Inc,NYSE,7340.0,NY,DE,941369354.0
815094,ABMD,Abiomed Inc,NASDAQ,3841.0,MA,DE,42743260.0
1253986,ABR,Arbor Realty Trust Inc,NYSE,6798.0,NY,MD,200057959.0
3333,ABS,Albertsons Inc,NYSE,5411.0,ID,DE,820184434.0
1800,ABT,Abbott Laboratories,NYSE,2834.0,IL,IL,360698440.0
